	year	num_level_1	num_level_3	number_tested	num_level_2	pct_level_3_and_4	mean_scale_score	num_level_4	pct_level_4	pct_level_3	pct_level_2	pct_level_1	num_level_3_and_4	boroughBROOKLYN	boroughQUEENS	boroughMANHATTAN	boroughSTATEN ISLAND	boroughBRONX	bindemographic	grade6	grade5	grade8	grade3	grade7	gradeAll Grades	grade4
74	2008	508	733	2225	945	34.7	635	39	1.8	32.9	42.5	22.8	772	0	0	0	0	1	1	0	0	1	0	0	0	0
75	2008	1902	5801	13587	5053	48.8	648	831	6.1	42.7	37.2	14.0	6632	0	0	0	0	1	0	0	0	1	0	0	0	0
76	2009	277	1182	2524	1019	48.7	646	46	1.8	46.8	40.4	11.0	1228	0	0	0	0	1	1	0	0	1	0	0	0	0
77	2009	747	7602	13530	3994	65.0	661	1187	8.8	56.2	29.5	5.5	8789	0	0	0	0	1	0	0	0	1	0	0	0	0
78	2010	828	396	2637	1373	16.5	649	40	1.5	15.0	52.1	31.4	436	0	0	0	0	1	1	0	0	1	0	0	0	0
79	2010	2385	3313	13262	6392	33.8	663	1172	8.8	25.0	48.2	18.0	4485	0	0	0	0	1	0	0	0	1	0	0	0	0
80	2011	798	579	2724	1310	22.6	648	37	1.4	21.3	48.1	29.3	616	0	0	0	0	1	1	0	0	1	0	0	0	0
81	2011	1872	4391	13029	5685	42.0	665	1081	8.3	33.7	43.6	14.4	5472	0	0	0	0	1	0	0	0	1	0	0	0	0
82	2012	659	627	2631	1277	26.4	654	68	2.6	23.8	48.5	25.0	695	0	0	0	0	1	1	0	0	1	0	0	0	0
83	2012	1422	4568	12725	5541	45.3	669	1194	9.4	35.9	43.5	11.2	5762	0	0	0	0	1	0	0	0	1	0	0	0	0
84	2006	6739	4455	17867	6295	27.0	624	378	2.1	24.9	35.2	37.7	4833	0	0	0	0	1	1	0	0	0	0	0	1	0
85	2006	14345	32630	79993	26340	49.1	647	6678	8.3	40.8	32.9	17.9	39308	0	0	0	0	1	0	0	0	0	0	0	1	0
86	2007	5101	5845	18178	6553	35.9	636	679	3.7	32.2	36.0	28.1	6524	0	0	0	0	1	1	0	0	0	0	0	1	0
87	2007	9943	36384	78894	23570	57.5	656	8997	11.4	46.1	29.9	12.6	45381	0	0	0	0	1	0	0	0	0	0	0	1	0
88	2008	2573	7852	16465	5380	51.7	647	660	4.0	47.7	32.7	15.6	8512	0	0	0	0	1	1	0	0	0	0	0	1	0
89	2008	6335	42484	77896	19020	67.5	663	10057	12.9	54.5	24.4	8.1	52541	0	0	0	0	1	0	0	0	0	0	0	1	0
90	2009	1530	9405	16914	4825	62.4	657	1154	6.8	55.6	28.5	9.0	10559	0	0	0	0	1	1	0	0	0	0	0	1	0
91	2009	3177	46031	77030	14323	77.3	672	13499	17.5	59.8	18.6	4.1	59530	0	0	0	0	1	0	0	0	0	0	0	1	0
92	2010	4756	3548	17957	8891	24.0	656	762	4.2	19.8	49.5	26.5	4310	0	0	0	0	1	1	0	0	0	0	0	1	0
93	2010	9698	23864	76196	31815	45.5	672	10819	14.2	31.3	41.8	12.7	34683	0	0	0	0	1	0	0	0	0	0	0	1	0
