year	borough	num_level_1	num_level_3	demographic	number_tested	num_level_2	pct_level_3_and_4	mean_scale_score	num_level_4	pct_level_4	pct_level_3	pct_level_2	grade	pct_level_1	num_level_3_and_4
2012	BROOKLYN	716	1251	ELL	3449	1301	41.5	677	181	5.2	36.3	37.7	3	20.8	1432
2012	BROOKLYN	1799	8559	EP	18707	5798	59.4	688	2551	13.6	45.8	31	3	9.6	11110
2006	BROOKLYN	616	1093	ELL	2591	698	49.3	645	184	7.1	42.2	26.9	4	23.8	1277
2006	BROOKLYN	1663	10115	EP	20003	3559	73.9	673	4666	23.3	50.6	17.8	4	8.3	14781
2007	BROOKLYN	548	1511	ELL	3162	829	56.5	654	274	8.7	47.8	26.2	4	17.3	1785
2007	BROOKLYN	1233	9813	EP	19151	3131	77.2	678	4974	26	51.2	16.3	4	6.4	14787
2008	BROOKLYN	365	1608	ELL	2915	638	65.6	660	304	10.4	55.2	21.9	4	12.5	1912
2008	BROOKLYN	1052	10070	EP	19209	2518	81.4	681	5569	29	52.4	13.1	4	5.5	15639
2009	BROOKLYN	257	1647	ELL	2941	521	73.5	670	516	17.5	56	17.7	4	8.7	2163
2009	BROOKLYN	696	9282	EP	18789	1825	86.6	691	6986	37.2	49.4	9.7	4	3.7	16268
2010	BROOKLYN	462	1001	ELL	3377	1563	40	668	351	10.4	29.6	46.3	4	13.7	1352
2010	BROOKLYN	1103	6568	EP	18728	6091	61.6	687	4966	26.5	35.1	32.5	4	5.9	11534
2011	BROOKLYN	484	1071	ELL	3248	1388	42.4	668	305	9.4	33	42.7	4	14.9	1376
2011	BROOKLYN	1034	7014	EP	18869	5745	64.1	687	5076	26.9	37.2	30.4	4	5.5	12090
2012	BROOKLYN	437	1099	ELL	3154	1172	49	672	446	14.1	34.8	37.2	4	13.9	1545
2012	BROOKLYN	892	6875	EP	18541	4940	68.5	691	5834	31.5	37.1	26.6	4	4.8	12709
2006	BROOKLYN	657	809	ELL	2455	829	39.5	639	160	6.5	33	33.8	5	26.8	969
2006	BROOKLYN	2263	9491	EP	20617	5065	64.5	663	3798	18.4	46	24.6	5	11	13289
2007	BROOKLYN	484	993	ELL	2488	795	48.6	648	216	8.7	39.9	32	5	19.5	1209
2007	BROOKLYN	1237	10443	EP	20374	4026	74.2	673	4668	22.9	51.3	19.8	5	6.1	15111
2008	BROOKLYN	316	1248	ELL	2497	682	60	656	251	10.1	50	27.3	5	12.7	1499
2008	BROOKLYN	743	10628	EP	19333	2765	81.9	679	5197	26.9	55	14.3	5	3.8	15825
2009	BROOKLYN	199	1466	ELL	2601	545	71.4	665	391	15	56.4	21	5	7.7	1857
2009	BROOKLYN	403	9943	EP	18981	2022	87.2	685	6613	34.8	52.4	10.7	5	2.1	16556
2010	BROOKLYN	446	805	ELL	2794	1291	37.8	665	252	9	28.8	46.2	5	16	1057
2010	BROOKLYN	1214	6979	EP	18574	5941	61.5	684	4440	23.9	37.6	32	5	6.5	11419
2011	BROOKLYN	492	909	ELL	2945	1283	39.7	665	261	8.9	30.9	43.6	5	16.7	1170
2011	BROOKLYN	988	7706	EP	18615	5403	65.7	687	4518	24.3	41.4	29	5	5.3	12224
2012	BROOKLYN	487	850	ELL	2759	1095	42.7	667	327	11.9	30.8	39.7	5	17.7	1177
2012	BROOKLYN	1096	6955	EP	18371	4634	68.8	690	5686	31	37.9	25.2	5	6	12641
2006	BROOKLYN	801	500	ELL	2077	706	27.4	623	70	3.4	24.1	34	6	38.6	570
2006	BROOKLYN	3463	8991	EP	21293	6341	54	651	2498	11.7	42.2	29.8	6	16.3	11489
2007	BROOKLYN	683	710	ELL	2197	708	36.7	633	96	4.4	32.3	32.2	6	31.1	806
2007	BROOKLYN	2225	9325	EP	20099	4900	64.6	663	3649	18.2	46.4	24.4	6	11.1	12974
2008	BROOKLYN	380	900	ELL	2090	668	49.9	645	142	6.8	43.1	32	6	18.2	1042
2008	BROOKLYN	1299	9986	EP	19727	3894	73.7	670	4548	23.1	50.6	19.7	6	6.6	14534
2009	BROOKLYN	316	1018	ELL	2265	713	54.6	652	218	9.6	44.9	31.5	6	14	1236
2009	BROOKLYN	779	10431	EP	19163	3196	79.3	676	4757	24.8	54.4	16.7	6	4.1	15188
2010	BROOKLYN	670	468	ELL	2446	1115	27	653	193	7.9	19.1	45.6	6	27.4	661
2010	BROOKLYN	1854	5799	EP	18949	6608	55.3	677	4688	24.7	30.6	34.9	6	9.8	10487
2011	BROOKLYN	677	610	ELL	2609	1076	32.8	658	246	9.4	23.4	41.2	6	25.9	856
