comparable_rental_2_address	comparable_rental_1_neighborhood	bronx_condominium_property_boro_block_lot	comparable_rental_2_gross_sqft	bronx_condominium_property_neighborhood	comparable_rental_2_building_classification	bronx_condominium_property_year_built	bronx_condominium_property_gross_income_per_sqft	bronx_condominium_property_full_market_value	comparable_rental_2_gross_income_per_sqft	comparable_rental_1_full_market_value	comparable_rental_2_boro_block_lot	comparable_rental_1_dist_from_coop_in_miles	comparable_rental_1_gross_income_per_sqft	bronx_condominium_property_condo_section	comparable_rental_1_building_classification	bronx_condominium_property_est_gross_income	bronx_condominium_property_gross_sqft	comparable_rental_1_address	comparable_rental_2_neighborhood	bronx_condominium_property_market_value_per_sqft	comparable_rental_2_dist_from_coop_in_miles	bronx_condominium_property_building_classification	comparable_rental_2_est_gross_income	comparable_rental_1_total_units	comparable_rental_1_market_value_per_sqft	comparable_rental_2_total_units	comparable_rental_2_full_market_value	comparable_rental_2_year_built	bronx_condominium_property_total_units	comparable_rental_1_est_gross_income	_comparable_rental_1_boro_block_lot	comparable_rental_1_gross_sqft	bronx_condominium_property_address	comparable_rental_2_market_value_per_sqft	comparable_rental_1_year_built
3611 HENRY HUDSON PARKWAY	RIVERDALE	2-05723-7501	134000	RIVERDALE	D3-ELEVATOR	1983	13.15	4080005	14.64	3780000	2-05903-0283	0.8	12.59	84-R1	D3-ELEVATOR	1309608	99590	3660 OXFORD AVENUE	RIVERDALE	41	0.7	R4-ELEVATOR	1961368	77	35.3	123	6630000	1951	73	1346616	2-05796-0129	106934	2287 JOHNSON AVENUE	49.5	1967
3900 HENRY HUDSON PARKWAY	RIVERDALE	2-05725-7501	37962	RIVERDALE	D1-ELEVATOR	1941	14	1530000	10.89	1750000	2-05781-1100	0.3	16.68	11-R1	D1-ELEVATOR	490000	35000	2475 PALISADE AVENUE	RIVERDALE	43.7	0.8	R4-ELEVATOR	413477	25	56	37	1070000	1928	24	518602	2-05716-0287	31098	2600 HENRY HUDSON PARKWAY	28.2	1932
6425 BROADWAY	KINGSBRIDGE HTS/UNIV HTS	2-05745-7501	48100	RIVERDALE	D3-ELEVATOR	1986	13.75	2669999	17.59	1050000	2-05851-2105	1.85	13.68	28-R1	C1-WALK-UP	857312	62350	2326 GRAND AVENUE	RIVERDALE	42.8	1.95	R4-ELEVATOR	846245	36	42.7	55	3160000	1974	36	336561	2-03198-0021	24610	2521 PALISADE AVENUE	66	1922
530 WEST 236 STREET	RIVERDALE	2-05771-7501	103392	RIVERDALE	D7-ELEVATOR	1962	13.5	5550000	14.99	6450000	2-05792-0430	0.5	13.59	41-R1	D1-ELEVATOR	1782000	132000	3801 HUDSON MANOR TERRACE	RIVERDALE	42	0.1	R9-CONDOPS	1549644	135	42.3	86	5240000	1954	106	2071191	2-05920-0670	152400	3636 FIELDSTON ROAD	51	1960
906 EAST 178 STREET	BELMONT	2-05777-7501	36596	KINGSBRIDGE/JEROME PARK	D1-ELEVATOR	2004	15.55	2890008	19.6	931000	2-03121-0038	2.45	14.35	79-R1	C7-WALK-UP	855572	55005	651 CRESCENT AVENUE	EAST TREMONT	53	3.25	R4-ELEVATOR	717348	27	48.5	35	1520000	2008	25	275313	2-03074-0037	19185	3816 WALDO AVENUE	41.5	1913
222 WEST 233 STREET	KINGSBRIDGE/JEROME PARK	2-05780-7501	66270	RIVERDALE	D1-ELEVATOR	1928	12	3210002	11.49	3110000	2-05754-0072	0.3	14.03	40-R1	D1-ELEVATOR	1140732	95061	275 WEST 238 STREET	KINGSBRIDGE/JEROME PARK	33.8	0.55	R4-ELEVATOR	761476	72	43.7	72	2140000	1928	78	997401	2-05773-0290	71091	3900 GREYSTONE AVENUE	32.3	1937
3615 OXFORD AVENUE	EAST TREMONT	2-05787-7501	7550	RIVERDALE	C1-WALK-UP	1988	18.75	708999	20.73	339000	2-05798-0101	2.95	11.5	30-R1	C1-WALK-UP	189525	10108	2155 MOHEGAN AVENUE	RIVERDALE	70	0.2	R4-ELEVATOR	156480	15	32.3	15	585000	1980	15	120750	2-03119-0066	10500	3240 NETHERLAND AVENUE	77	1912
630 WEST 246 STREET	RIVERDALE	2-05788-7501	443283	RIVERDALE	D3-ELEVATOR	2004	25.8	12000004	21.63	58300000	2-05909-0825	0.5	18.46	106-R1	D7-ELEVATOR	2711475	105300	2600 NETHERLAND AVENUE	RIVERDALE	114	0.45	R4-ELEVATOR	9589106	608	69	403	39700000	1958	26	15587450	2-05722-0475	844578	3220 ARLINGTON AVENUE	90	1975
549 COMMONWEALTH AVENUE	EAST TREMONT	2-05789-7501	49458	RIVERDALE	D7-ELEVATOR	1989	14.5	1509999	14.68	2320000	2-03519-0034	3.15	18.14	32-R1	D7-ELEVATOR	445773	30743	882 EAST 180 STREET	SOUNDVIEW	49.1	5.4	R4-ELEVATOR	726159	30	68	59	2650000	1932	32	620288	2-03123-0056	34200	3220 FAIRFIELD AVENUE	54	1916
500 KAPPOCK STREET	EAST TREMONT	2-05791-7501	59142	RIVERDALE	D1-ELEVATOR	2005	21	4599992	20.37	1520000	2-05723-0100	3.2	19.6	95-R1	D1-ELEVATOR	1111278	52918	906 EAST 178 STREET	RIVERDALE	87	0.75	R4-ELEVATOR	1204598	35	41.5	82	4500000	1950	31	717348	2-03121-0038	36596	3536 CAMBRIDGE AVENUE	76	2008
3615 OXFORD AVENUE	EAST TREMONT	2-05798-7501	7550	RIVERDALE	C1-WALK-UP	2002	19	1059997	20.73	1520000	2-05798-0101	3.35	19.6	62-R1	D1-ELEVATOR	284411	14969	906 EAST 178 STREET	RIVERDALE	71	0	R4-ELEVATOR	156480	35	41.5	15	585000	1980	15	717348	2-03121-0038	36596	3614 JOHNSON AVENUE	77	2008
3725 BLACKSTONE AVENUE	RIVERDALE	2-05798-7502	41803	RIVERDALE	D1-ELEVATOR	2005	15.25	2090002	15.81	1000000	2-05907-0348	1.15	15.84	67-R1	C1-WALK-UP	617137	40468	5431 SYLVAN AVENUE	RIVERDALE	52	0.2	R4-ELEVATOR	660893	24	53	42	2230000	1968	23	297022	2-05844-1935	18756	3625 OXFORD AVENUE	53	1972
6555 BROADWAY	FIELDSTON	2-05857-7501	62570	RIVERDALE	D1-ELEVATOR	1962	13.5	2989996	13.43	3760000	2-05864-0516	0.8	14.84	19-R1	D1-ELEVATOR	960471	71146	210 WEST 251 STREET	RIVERDALE	42	0.1	R4-ELEVATOR	840222	70	50	73	2620000	1961	68	1113242	2-05814-1155	75000	5775 MOSHOLU AVENUE	41.9	1960
6425 BROADWAY	RIVERDALE	2-05903-7501	48100	RIVERDALE	D3-ELEVATOR	2006	25.7	17499999	17.59	4500000	2-05851-2105	0.7	20.37	92-R1	D1-ELEVATOR	4220090	163887	500 KAPPOCK STREET	RIVERDALE	107	1.4	R4-ELEVATOR	846245	82	76	55	3160000	1974	65	1204598	2-05723-0100	59142	640 WEST 237 STREET	66	1950
2463 HUGHES AVENUE	RIVERDALE	2-05904-7501	13520	RIVERDALE	C1-WALK-UP	2004	15.95	1090000	16.83	1750000	2-03077-0050	0.9	16.68	63-R1	D1-ELEVATOR	323466	20280	2475 PALISADE AVENUE	BELMONT	54	2.55	R4-ELEVATOR	227559	25	56	16	851000	2004	12	518602	2-05716-0287	31098	3800 BLACKSTONE AVENUE	63	1932
630 WEST 246 STREET	RIVERDALE	2-05923-7501	443283	RIVERDALE	D3-ELEVATOR	1955	18	19699995	21.63	9600000	2-05909-0825	0.3	13.01	6-R1	D1-ELEVATOR	5262660	292370	3950 BLACKSTONE AVENUE	RIVERDALE	67	0.3	R4-ELEVATOR	9589106	176	40.5	403	39700000	1958	177	3082644	2-05909-0163	237000	4455 DOUGLAS AVENUE	90	1959
1564 MAYFLOWER AVENUE	SCHUYLERVILLE/PELHAM BAY	2-05944-7501	10100	RIVERDALE	C1-WALK-UP	1940	14	695002	12.36	443000	2-05388-0009	5.9	18.21	38-R1	C1-WALK-UP	223076	15934	1235 BRADFORD AVENUE	SCHUYLERVILLE/PELHAM BAY	43.6	5.5	R2-WALK-UP	124878	13	68	13	351000	1931	12	118527	2-05333-0106	6510	4961 HENRY HUDSON PARKWAY	34.8	1929
